Item,Instruction_1,Instruction_2,Instruction_3,Category
Walkmans,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
ash (cooled),Place this cooled item in the Garbage Bin.,,,Garbage Bin
briquette (cooled),Place this cooled item in the Garbage Bin.,,,Garbage Bin
drinking glass (broken)/broken drinking glass,"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
broken plate,"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
broken window glass,"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
broken wine glass,"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
cardboard barrel,Place this item in the Garbage Bin.,,,Garbage Bin
broken ceramic dish,"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
Christmas bulbs/Christmas lights,Consider donating reusable items to non-profit organizations.,"If battery-powered, remove battery and dispose of it as Household Hazardous Waste.",Place this item in the Garbage Bin.,Garbage Bin
dead chipmunk,Do not touch the dead animal with your bare hands.,Wear gloves or use a plastic bag to pick it up and put inside two plastic bags (double bag). Then tie the bags closed and place in the garbage.,"Please do not contact 311 as small wild animal cadavers, whether on City or private property, will not be picked up by Toronto Animal Services.",Garbage Bin
cigarette (extinguished and cooled),Place this extinguished and cooled item in the Garbage Bin.,,,Garbage Bin
cigarette butt (extinguished and cooled),Place this extinguished and cooled item in the Garbage Bin.,,,Garbage Bin
coffee/tea pot (broken),"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
headsets (wired/wireless),"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
condoms/rubbers,Place this item in the Garbage Bin.,,,Garbage Bin
Durex condoms,Place this item in the Garbage Bin.,,,Garbage Bin
smart watches,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
sound mixers/mixing consoles,"Consider donating reusable items. Otherwise, set item out on the ground on garbage collection day 0.5 metre (2 feet) away from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
Trojan condoms,Place this item in the Garbage Bin.,,,Garbage Bin
dental floss boxes,Place this item in the Garbage Bin.,,,Garbage Bin
"digital/electronic thermometer (e.g. body, food, outdoor)",Remove any batteries and dispose of them as Household Hazardous Waste.,Place this item in the Garbage Bin.,,Garbage Bin
paint remover,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
moth balls,"This is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
BBQ ashes (cooled),Place this cooled item in the Garbage Bin.,,,Garbage Bin
charcoal (cooled),Place this cooled item in the Garbage Bin.,,,Garbage Bin
fireplace ashes (cooled),Place this cooled item in the Garbage Bin.,,,Garbage Bin
plastic sticky/Post-it notes,Place this item in the Garbage Bin.,,,Garbage Bin
fireworks (used/unused),Completely submerge fireworks in water and soak them overnight.,Wrap the soaked fireworks in a plastic bag (to keep them from drying out) and dispose in the Garbage Bin.,Dispose of fireworks in small quantities (up to 10 items).,Garbage Bin
plants (artificial),Place this item in the Garbage Bin.,,,Garbage Bin
flowers (artificial),Place this item in the Garbage Bin.,,,Garbage Bin
plastic plant,Place this item in the Garbage Bin.,,,Garbage Bin
silk flowers,Place this item in the Garbage Bin.,,,Garbage Bin
silk plants,Place this item in the Garbage Bin.,,,Garbage Bin
disposable gloves,Place this item in the Garbage Bin bagged.,,,Garbage Bin
latex gloves,Place this item in the Garbage Bin bagged.,,,Garbage Bin
rubber gloves,Place this item in the Garbage Bin bagged.,,,Garbage Bin
Bic lighter (empty),Lighters with fuel must be disposed of as Household Hazardous Waste,Place this empty item in the Garbage Bin.,,Garbage Bin
lighter (empty),Place this empty item in the Garbage Bin.,Lighters with fuel must be disposed of as Household Hazardous Waste,,Garbage Bin
plastic mattress bags,Place this item in the Garbage Bin.,,,Garbage Bin
small mirror,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,"Alternatively, place this item in the Garbage Bin.",,Garbage Bin
broken mirror,"Wrap sharp edges with thick or multi-layered material (e.g. paper, cardboard, soft plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
plastic kitty/cat litter bins,Place this item in the Garbage Bin.,,,Garbage Bin
plastic kitty/cat litter boxes,Place this item in the Garbage Bin.,,,Garbage Bin
roofing tar cans (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,Place this empty item in the Garbage Bin.,,Garbage Bin
roofing tar metal pails (empty),Containers with hazardous products must be disposed of as Household Hazardous Waste.,Place this empty item in the Garbage Bin.,,Garbage Bin
shower curtains/plastic shower curtains,Place this item in the Garbage Bin.,,,Garbage Bin
shower liner,Place this item in the Garbage Bin.,,,Garbage Bin
sparklers (used/unused),"Soak thoroughly in water, then wrap in double plastic bags (to keep them from drying out) before placing in the Garbage Bin.",,,Garbage Bin
holiday lights,Consider donating reusable items to non-profit organizations.,"If battery-powered, remove battery and dispose of it as Household Hazardous Waste.",Place this item in the Garbage Bin.,Garbage Bin
